zip_code,clients,date,quarter,year
75217,587,2023-01-01, QTR 1,2023
75216,396,2023-01-01, QTR 1,2023
75057,332,2023-01-01, QTR 1,2023
75061,332,2023-01-01, QTR 1,2023
75220,329,2023-01-01, QTR 1,2023
75211,323,2023-01-01, QTR 1,2023
75228,311,2023-01-01, QTR 1,2023
75227,290,2023-01-01, QTR 1,2023
75060,240,2023-01-01, QTR 1,2023
75243,233,2023-01-01, QTR 1,2023
75062,205,2023-01-01, QTR 1,2023
75150,205,2023-01-01, QTR 1,2023
75040,204,2023-01-01, QTR 1,2023
75149,191,2023-01-01, QTR 1,2023
75041,190,2023-01-01, QTR 1,2023
75042,187,2023-01-01, QTR 1,2023
75253,174,2023-01-01, QTR 1,2023
75240,170,2023-01-01, QTR 1,2023
75051,165,2023-01-01, QTR 1,2023
75180,151,2023-01-01, QTR 1,2023
75224,151,2023-01-01, QTR 1,2023
75231,142,2023-01-01, QTR 1,2023
75232,142,2023-01-01, QTR 1,2023
75050,133,2023-01-01, QTR 1,2023
75241,130,2023-01-01, QTR 1,2023
75043,126,2023-01-01, QTR 1,2023
75006,122,2023-01-01, QTR 1,2023
75212,114,2023-01-01, QTR 1,2023
75229,112,2023-01-01, QTR 1,2023
75238,94,2023-01-01, QTR 1,2023
75074,84,2023-01-01, QTR 1,2023
75235,77,2023-01-01, QTR 1,2023
75287,77,2023-01-01, QTR 1,2023
75237,75,2023-01-01, QTR 1,2023
75052,74,2023-01-01, QTR 1,2023
75159,74,2023-01-01, QTR 1,2023
75254,73,2023-01-01, QTR 1,2023
75208,72,2023-01-01, QTR 1,2023
75215,72,2023-01-01, QTR 1,2023
75210,71,2023-01-01, QTR 1,2023
75080,68,2023-01-01, QTR 1,2023
75234,67,2023-01-01, QTR 1,2023
75134,63,2023-01-01, QTR 1,2023
75223,62,2023-01-01, QTR 1,2023
75236,62,2023-01-01, QTR 1,2023
75044,59,2023-01-01, QTR 1,2023
75081,56,2023-01-01, QTR 1,2023
75115,55,2023-01-01, QTR 1,2023
75203,55,2023-01-01, QTR 1,2023
75233,55,2023-01-01, QTR 1,2023
75116,52,2023-01-01, QTR 1,2023
76010,52,2023-01-01, QTR 1,2023
75126,49,2023-01-01, QTR 1,2023
75104,48,2023-01-01, QTR 1,2023
75181,48,2023-01-01, QTR 1,2023
75098,43,2023-01-01, QTR 1,2023
75248,42,2023-01-01, QTR 1,2023
75154,41,2023-01-01, QTR 1,2023
75038,39,2023-01-01, QTR 1,2023
75146,39,2023-01-01, QTR 1,2023
75137,36,2023-01-01, QTR 1,2023
75189,33,2023-01-01, QTR 1,2023
75141,33,2023-01-01, QTR 1,2023
75089,31,2023-01-01, QTR 1,2023
75218,31,2023-01-01, QTR 1,2023
75204,29,2023-01-01, QTR 1,2023
75023,28,2023-01-01, QTR 1,2023
75249,27,2023-01-01, QTR 1,2023
75007,25,2023-01-01, QTR 1,2023
75219,25,2023-01-01, QTR 1,2023
75060,24,2023-01-01, QTR 1,2023
75001,23,2023-01-01, QTR 1,2023
75165,23,2023-01-01, QTR 1,2023
75252,23,2023-01-01, QTR 1,2023
75209,22,2023-01-01, QTR 1,2023
75063,21,2023-01-01, QTR 1,2023
75172,21,2023-01-01, QTR 1,2023
75125,20,2023-01-01, QTR 1,2023
75214,20,2023-01-01, QTR 1,2023
75230,20,2023-01-01, QTR 1,2023
75114,19,2023-01-01, QTR 1,2023
75142,19,2023-01-01, QTR 1,2023
75067,18,2023-01-01, QTR 1,2023
75088,16,2023-01-01, QTR 1,2023
75119,16,2023-01-01, QTR 1,2023
75160,16,2023-01-01, QTR 1,2023
75075,14,2023-01-01, QTR 1,2023
76011,14,2023-01-01, QTR 1,2023
75034,13,2023-01-01, QTR 1,2023
75173,13,2023-01-01, QTR 1,2023
75002,12,2023-01-01, QTR 1,2023
75032,12,2023-01-01, QTR 1,2023
75056,12,2023-01-01, QTR 1,2023
75407,12,2023-01-01, QTR 1,2023
76051,12,2023-01-01, QTR 1,2023
75206,11,2023-01-01, QTR 1,2023
76014,11,2023-01-01, QTR 1,2023
75048,10,2023-01-01, QTR 1,2023
76119,10,2023-01-01, QTR 1,2023
75068,8,2023-01-01, QTR 1,2023
75069,8,2023-01-01, QTR 1,2023
75226,8,2023-01-01, QTR 1,2023
75244,8,2023-01-01, QTR 1,2023
76006,8,2023-01-01, QTR 1,2023
76065,8,2023-01-01, QTR 1,2023
75025,7,2023-01-01, QTR 1,2023
75077,7,2023-01-01, QTR 1,2023
76012,7,2023-01-01, QTR 1,2023
75019,6,2023-01-01, QTR 1,2023
75039,6,2023-01-01, QTR 1,2023
75161,6,2023-01-01, QTR 1,2023
75201,6,2023-01-01, QTR 1,2023
76017,6,2023-01-01, QTR 1,2023
76018,6,2023-01-01, QTR 1,2023
76040,6,2023-01-01, QTR 1,2023
76053,6,2023-01-01, QTR 1,2023
76137,6,2023-01-01, QTR 1,2023
76140,6,2023-01-01, QTR 1,2023
75010,5,2023-01-01, QTR 1,2023
75057,5,2023-01-01, QTR 1,2023
75094,5,2023-01-01, QTR 1,2023
75110,5,2023-01-01, QTR 1,2023
75169,5,2023-01-01, QTR 1,2023
76063,5,2023-01-01, QTR 1,2023
76105,5,2023-01-01, QTR 1,2023
76112,5,2023-01-01, QTR 1,2023
76179,5,2023-01-01, QTR 1,2023
75013,4,2023-01-01, QTR 1,2023
75082,4,2023-01-01, QTR 1,2023
