race,hispanic,non_hispanic,undup_totals,date,quarter,year
White,8235,227,8462,2023-01-01, QTR 1,2023
Black,27,1269,1296,2023-01-01, QTR 1,2023
Asian,3,73,76,2023-01-01, QTR 1,2023
American Indian,13,4,17,2023-01-01, QTR 1,2023
Unknown,36,43,79,2023-01-01, QTR 1,2023
Pacific Islander,2,8,10,2023-01-01, QTR 1,2023
Total,8316,1624,9940,2023-01-01, QTR 1,2023
White,8208,212,8420,2023-04-01, QTR 2,2023
Black,26,1284,1310,2023-04-01, QTR 2,2023
Asian,3,66,69,2023-04-01, QTR 2,2023
American Indian,8,4,12,2023-04-01, QTR 2,2023
Unknown/Not Reported,43,40,83,2023-04-01, QTR 2,2023
Pacific Islander,1,10,11,2023-04-01, QTR 2,2023
More than one Race,0,0,0,2023-04-01, QTR 2,2023
Total,8289,1616,9905,2023-04-01, QTR 2,2023
White,6870,169,7039,2023-07-01, QTR 3,2023
Black,24,945,969,2023-07-01, QTR 3,2023
Asian,4,53,57,2023-07-01, QTR 3,2023
American Indian,3,3,6,2023-07-01, QTR 3,2023
Unknown/Not Reported,34,44,78,2023-07-01, QTR 3,2023
Pacific Islander,0,4,4,2023-07-01, QTR 3,2023
More than one Race,0,0,0,2023-07-01, QTR 3,2023
Total,6935,1218,8153,2023-07-01, QTR 3,2023
White,6006,160,6166,2023-10-01, QTR 4,2023
Black,17,749,766,2023-10-01, QTR 4,2023
Asian,1,42,43,2023-10-01, QTR 4,2023
American Indian,2,1,3,2023-10-01, QTR 4,2023
Unknown/Not Reported,27,29,56,2023-10-01, QTR 4,2023
Pacific Islander,1,5,6,2023-10-01, QTR 4,2023
More than one Race,0,0,0,2023-10-01, QTR 4,2023
Total,6054,986,7040,2023-10-01, QTR 4,2023
